,Title,Company,Company's info,Field of Studies,Duration of Internship,Deadline,Location(s)
31,Internationalization internship: German,ROCTAR INNOVACION EDUCATIVA SLU,Are you a native speaker in German?,"Business Studies and/or Management Science, Communication and Information Sciences, Education and/or Teacher Training",6 months,"30 Jun, 2021","Spain, Boadilla del Monte, Madrid Spain, Madrid "
32,Internationalization internship: Dutch,ROCTAR INNOVACION EDUCATIVA SLU,          Are you a native speaker in Dutch?,"Business Studies and/or Management Science, Communication and Information Sciences, Education and/or Teacher Training",6 months,"30 Jun, 2021","Spain, Boadilla del Monte, Madrid Spain, Madrid "
33,EAVI is looking for an Erasmus student to join us!,EAVI,Available to students or graduated with an ERASMUS+ scholarship grant,"Business Studies and/or Management Science, Communication and Information Sciences, Education and/or Teacher Training",6 months,"31 Mar, 2021","Belgium, Brussels "
34,CASANOVA + HERNANDEZ looking for collaborators (only architectural designers with a grant),casanova+hernandez architects,"fields of architecture, urban planning and landscape architecture. ",Architecture and/or Urban and Regional Planning,6 months,"4 Apr, 2021","Netherlands, rotterdam "
35,Remote Italian Law Intern,Sicilia Mia,About Us,Law,6 months,"30 Mar, 2021","Italy, Ragusa "
36,Project Management (Financial) Internship ASSPM1003,European Student Placement Agency UK,This is a fantastic opportunity for a numerically minded student to gain practical experience within this innovative leader in door and access solutions.,Business Studies and/or Management Science,6 months,"8 Apr, 2021","United Kingdom, Lisburn "
37,Marketing Internship – Italian speaking CATMAI1003,European Student Placement Agency UK,"Please note that, due to the current situation with Covid 19, the host company prefers that this role is worked remotely from your home country.",Business Studies and/or Management Science,6 months,"8 Apr, 2021","United Kingdom, Belfast "
38,Software Engineer (UI) Internship QARSD0503,European Student Placement Agency UK,"This is great opportunity for creative software engineer, interested in UI, to gain practical experience with this high-end business consultancy.","Communication and Information Sciences, Engineering and/or Technology",6 months,"8 Apr, 2021","United Kingdom, Belfast "
39,Legal and administration intern,Internship Centre,Our collaborator is Law company in Sevilla. Currently they are looking for new talented interns to join their company . Available position: Intern at Legal department,"Business Studies and/or Management Science, Languages and Philological Sciences, Law",9 months,"31 Mar, 2021","Spain, Barcelona, Sevilla, online "
40,"Human Resources intern in Barcelona, Madrid or online",Internship Centre,Currently for our client we are looking for new candidates to join the Human Resources department:,"Business Studies and/or Management Science, Communication and Information Sciences, Humanities",9 months,"31 Mar, 2021","Spain, BArcelona, Madrid or online "
41,Business development intern in Barcelona or online,Internship Centre,"Our collaborator is a leading creative agency with a training center placed in Barcelona . Company provides also business solutions in the field of graphic designing, event planning, recruitment and financial analysis.","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",8 months,"31 Mar, 2021","Spain, Barcelona or online "
42,Marketing intern in Barcelona or online,Internship Centre,"Our collaborator is a leading creative agency with a training center placed in Barcelona . Company provides also business solutions in the field of graphic designing, event planning, recruitment and financial analysis.","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",8 months,"31 Mar, 2021","Spain, Barcelona or online "
43,Finance intern in Barcelona or online,Internship Centre,Internship at financial analysis department (mainly cyrpto and stocks),"Business Studies and/or Management Science, Communication and Information Sciences, Humanities",9 months,"31 Mar, 2021","Spain, Barcelona or online "
44,Data analysis in Barcelona or online,Internship Centre,Internship at the Data analysis,"Business Studies and/or Management Science, Communication and Information Sciences, Humanities",9 months,"31 Mar, 2021","Spain, Barcelona or online "
45,"Student support assistant Spain ALICANTE, starting from April 2021",Universal Mobility,We are looking for interns who would work in our company as student support assistant. Our branch is located in Alicante. The duration of internship will be minimum 2 months.,Education and/or Teacher Training,4 months,"5 Apr, 2021","Spain, ALICANTE  "
46,Bioinformatician intern,myNEO,Increase patient reporting by analysing SNPs in tumour tissues,"Engineering and/or Technology, Medical Sciences",3 months,"15 Apr, 2021","Belgium, Ghent "
47,Bioinformatician intern,myNEO,Predict patient response on checkpoint inhibitors via novel genomic biomarkers,"Engineering and/or Technology, Medical Sciences",3 months,"15 Apr, 2021","Belgium, Ghent "
48,Bioinformatician intern,myNEO,Increase immunotherapy designs by integrative genomics,"Engineering and/or Technology, Medical Sciences",3 months,"15 Apr, 2021","Belgium, Ghent "
49,Event Organizer,Happy Erasmus Bilbao,"""Erasmus is not one year in your life but your life in one year"".","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",3 months,"11 Jul, 2021","Spain, Bilbao "
50,Tour Leader (Trips and Excursions),Happy Erasmus Bilbao,"""Erasmus is not one year in your life but your life in one year"".","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",3 months,"11 Jul, 2021","Spain, Bilbao "
51,Sales Assistant,Happy Erasmus Bilbao,"""Erasmus is not one year in your life but your life in one year"".","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",3 months,"11 Jul, 2021","Spain, Bilbao "
52,Boosting Artificial Social Intelligence: Understanding human gaze communication in social videos,Spanish National Research Council (CSIC),Gaze communication is a primitive form of human communication that plays an important role in augmenting verbal communication during social interactions.,Mathematics and/or Informatics,6 months,"25 May, 2021","Spain, Barcelona "
53,English Teacher,Central Park Idiomas,Central Park is a modern private language school located in Alicante (Spain).,Education and/or Teacher Training,4 months,"31 Mar, 2021","Spain, Alicante "
54,Fashion Editor Intern - France (m/f/d),ABOUT YOU ,ABOUT YOU is one of the fastest growing eCommerce companies in Europe with its headquarter in Hamburg.,"Art and Design, Communication and Information Sciences, Languages and Philological Sciences",3 months,"15 Apr, 2021","Germany, Hamburg "
55,Business & Marketing Intern for a German start-up in the field of sustainability,Invest2Change, ,"Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",4 months,"16 Mar, 2021","Germany, Hamburg "
56,IT / Software Engineering Intern for a German start-up in the field of sustainability,Invest2Change, ,"Engineering and/or Technology, Mathematics and/or Informatics",4 months,"31 Mar, 2021","Germany, Hamburg "
57,RECEPTION TRAINEE BENIDORM,Hoteles BBB,"The practices will be carried out in one of the hotels in the center of Benidorm. The offered practices are in the Reception and Front desk department, the main responsibilities are:","Business Studies and/or Management Science, Languages and Philological Sciences, Social Sciences",3 months,"31 Mar, 2021","Spain, BENIDORM "
58,Wordpress Developer Remotely,Sicilia Mia, ,"Communication and Information Sciences, Engineering and/or Technology, Mathematics and/or Informatics",6 months,"21 Mar, 2021","Italy, Ragusa "
59,Marketing & Communication,InternEurope,"GENERAL DESCRIPTION (tasks, etc.) As a startup the environment is really changing from day to day, so the tasks differ too.","Business Studies and/or Management Science, Communication and Information Sciences",6 months,"31 Mar, 2021",
